tree,K,distribution,iteration,size,insert,lookup,remove
32std::set,32,uniform,6,64,159.375,32.44,148.438
32std::set,32,uniform,6,128,201.562,40.39,135.938
32std::set,32,uniform,6,256,126.562,47.51,128.516
32std::set,32,uniform,6,512,120.508,53.98,122.461
32std::set,32,uniform,6,1024,124.219,64.43,124.316
32std::set,32,uniform,6,2048,126.562,78.24,124.756
32std::set,32,uniform,6,4096,127.661,85.17,123.56
32std::set,32,uniform,6,8192,139.929,103.89,131.287
32std::set,32,uniform,6,16384,143.414,133.92,154.224
32std::set,32,uniform,6,32768,160.532,142.42,168.356
32std::set,32,uniform,6,65536,187.111,161.15,209.488
32std::set,32,uniform,6,131072,223.409,225.46,225.872
32std::set,32,uniform,6,262144,298.063,346.78,327.729
32std::set,32,uniform,6,524288,415.868,561.74,453.446
32std::set,32,uniform,6,1048576,550.338,665.86,617.802
32std::set,32,uniform,6,2097152,698.814,795.43,786.405
32std::set,32,uniform,6,4194304,853.958,941.23,943.423
32std::set,32,uniform,6,8388608,1011.88,1102.33,1104.62
32std::set,32,uniform,7,32,250,25.17,196.875
32std::set,32,uniform,7,64,162.5,31.59,159.375
32std::set,32,uniform,7,128,163.281,39.86,135.938
32std::set,32,uniform,7,256,128.516,48.46,126.172
32std::set,32,uniform,7,512,117.578,53.66,123.828
32std::set,32,uniform,7,1024,121.875,65.5,125.391
32std::set,32,uniform,7,2048,126.27,78,124.414
32std::set,32,uniform,7,4096,126.05,85.15,129.81
32std::set,32,uniform,7,8192,136.047,103.59,131.091
32std::set,32,uniform,7,16384,150.732,123.42,142.767
32std::set,32,uniform,7,32768,161.115,142.21,181.863
32std::set,32,uniform,7,65536,180.569,198.79,207.838
32std::set,32,uniform,7,131072,229.385,227.98,233.878
32std::set,32,uniform,7,262144,302.126,537.84,324.713
32std::set,32,uniform,7,524288,433.255,509.67,455.122
32std::set,32,uniform,7,1048576,551.907,655.29,610.246
32std::set,32,uniform,7,2097152,702.293,795.07,782.889
32std::set,32,uniform,7,4194304,850.799,966.96,943.452
32std::set,32,uniform,7,8388608,1009,1117.28,1102.75
32std::set,32,uniform,8,32,256.25,26.1,193.75
32std::set,32,uniform,8,64,145.312,31.82,143.75
32std::set,32,uniform,8,128,134.375,39.48,135.938
32std::set,32,uniform,8,256,123.047,47.46,126.953
32std::set,32,uniform,8,512,114.844,54.15,122.656
32std::set,32,uniform,8,1024,122.559,64.46,136.328
32std::set,32,uniform,8,2048,121.045,74.51,125.244
32std::set,32,uniform,8,4096,127.759,85.21,125.171
32std::set,32,uniform,8,8192,137.146,110.14,130.798
32std::set,32,uniform,8,16384,144.354,119.25,142.957
32std::set,32,uniform,8,32768,161.209,142.33,181.744
32std::set,32,uniform,8,65536,197.679,190.06,205.034
32std::set,32,uniform,8,131072,223.003,342.92,237.998
32std::set,32,uniform,8,262144,304.859,533.06,320.005
32std::set,32,uniform,8,524288,411.556,498.66,454.275
32std::set,32,uniform,8,1048576,552.107,685.44,610.066
32std::set,32,uniform,8,2097152,697.176,794.03,779.527
32std::set,32,uniform,8,4194304,849.999,934.62,944.92
32std::set,32,uniform,8,8388608,1004.67,1111.33,1105.04
32std::set,32,uniform,9,32,240.625,23.07,175
32std::set,32,uniform,9,64,146.875,37.67,150
32std::set,32,uniform,9,128,130.469,37.1,126.562
32std::set,32,uniform,9,256,116.406,44.75,118.75
32std::set,32,uniform,9,512,114.844,49.57,114.844
32std::set,32,uniform,9,1024,110.938,59.81,116.211
32std::set,32,uniform,9,2048,112.598,69.48,120.996
32std::set,32,uniform,9,4096,117.627,78.59,118.652
32std::set,32,uniform,9,8192,123.486,96.43,124.17
32std::set,32,uniform,9,16384,137.012,117.23,161.469
32std::set,32,uniform,9,32768,162.241,138.24,166.309
32std::set,32,uniform,9,65536,185.609,161.71,206.964
32std::set,32,uniform,9,131072,225.891,212.38,231.573
32std::set,32,uniform,9,262144,303.569,354.77,322.579
32std::set,32,uniform,9,524288,409.475,494.41,450.76
32std::set,32,uniform,9,1048576,549.812,713.98,611.227
32std::set,32,uniform,9,2097152,698.966,799.36,779.901
32std::set,32,uniform,9,4194304,846.476,942.51,940.119
32std::set,32,uniform,9,8388608,1007.77,1106.64,1101.61
32std::set,32,cluster,0,32,168.75,5.32,106.25
32std::set,32,cluster,0,64,90.625,10.04,62.5
32std::set,32,cluster,0,128,193.75,10.04,48.4375
32std::set,32,cluster,0,256,51.1719,17.86,45.3125
32std::set,32,cluster,0,512,78.5156,13.94,58.5938
32std::set,32,cluster,0,1024,60.8398,16.22,29.3945
32std::set,32,cluster,0,2048,51.123,14.02,35.1562
32std::set,32,cluster,0,4096,50.8545,15.97,41.9189
32std::set,32,cluster,0,8192,71.7651,23.26,41.0278
32std::set,32,cluster,0,16384,53.7354,32.08,42.2119
32std::set,32,cluster,0,32768,57.3639,38.75,46.4844
32std::set,32,cluster,0,65536,59.6558,59.96,56.7215
32std::set,32,cluster,0,131072,66.4658,95.22,59.4688
32std::set,32,cluster,0,262144,79.2637,143.12,57.283
32std::set,32,cluster,0,524288,72.4684,236.94,60.8656
32std::set,32,cluster,0,1048576,76.3459,285.75,60.8821
32std::set,32,cluster,0,2097152,76.3218,380.02,63.6323
32std::set,32,cluster,0,4194304,79.3479,547.13,67.6051
32std::set,32,cluster,0,8388608,82.2777,718.85,69.7795
32std::set,32,cluster,1,32,168.75,6.97,112.5
32std::set,32,cluster,1,64,85.9375,10.77,64.0625
32std::set,32,cluster,1,128,85.9375,13.14,211.719
32std::set,32,cluster,1,256,144.531,9.88,50
32std::set,32,cluster,1,512,107.617,11.12,38.8672
32std::set,32,cluster,1,1024,86.2305,12.05,34.5703
32std::set,32,cluster,1,2048,66.4062,21.04,32.0312
32std::set,32,cluster,1,4096,68.2861,15.97,37.4023
32std::set,32,cluster,1,8192,61.0718,20.11,45.8252
32std::set,32,cluster,1,16384,65.2588,34.53,46.0083
32std::set,32,cluster,1,32768,65.9546,45.03,54.7974
